Fecha,ALICORP,CREDICORP,FERREYCORP,SOUTHERN
2025-05-20,8.51,194.0,3.11,92.2
2025-05-21,8.51,198.0,3.08,91.99
2025-05-22,8.51,200.0,3.12,90.4
2025-05-23,8.55,204.0,3.12,90.45
2025-05-26,8.55,203.85,3.18,92.43
2025-05-27,8.55,203.85,3.15,92.43
2025-05-28,8.6,207.3,3.15,92.65
2025-05-29,8.6,208.5,3.16,91.7
2025-05-30,8.6,209.7,3.16,91.7
2025-06-02,8.62,211.0,3.21,90.6
2025-06-03,8.65,214.0,3.2,92.75
2025-06-04,8.62,216.05,3.17,92.4
2025-06-05,8.65,213.2,3.16,93.5
2025-06-06,8.65,213.3,3.13,96.8
2025-06-09,8.7,216.43,3.15,96.8
2025-06-10,8.66,213.6,3.15,98.22
2025-06-11,8.95,216.09,3.15,97.25
2025-06-12,8.91,218.0,3.15,97.05
2025-06-13,8.98,218.2,3.16,97.05
2025-06-16,9.0,216.6,3.15,94.5
2025-06-17,9.0,219.0,3.16,94.5
2025-06-18,9.35,218.98,3.16,95.05
2025-06-19,9.7,218.0,3.16,95.05
2025-06-20,9.56,216.82,3.16,95.05
2025-06-23,9.7,218.5,3.18,94.25
2025-06-24,9.69,215.03,3.16,93.47
2025-06-25,9.53,218.65,3.15,97.0
2025-06-26,9.71,217.2,3.18,96.5
2025-06-27,9.7,222.12,3.18,104.5
2025-06-30,9.55,223.1,3.2,103.4
2025-07-01,9.55,224.4,3.21,103.4
2025-07-02,9.6,221.6,3.25,101.5
2025-07-03,9.55,224.5,3.3,105.25
2025-07-04,9.7,227.0,3.35,105.0
2025-07-07,9.69,228.0,3.35,105.0
2025-07-08,9.7,224.05,3.45,104.7
2025-07-09,9.7,226.2,3.49,103.28
2025-07-10,9.72,225.42,3.45,99.3
2025-07-11,9.84,224.7,3.45,99.3
2025-07-14,9.65,222.05,3.47,101.6
2025-07-15,9.65,222.0,3.45,99.63
2025-07-16,9.65,222.15,3.46,96.42
2025-07-17,9.83,221.2,3.47,96.5
2025-07-18,9.82,225.5,3.44,96.23
2025-07-21,9.82,227.0,3.44,96.23
2025-07-22,9.74,229.0,3.49,98.55
2025-07-24,9.74,231.2,3.49,98.73
2025-07-25,9.74,237.16,3.5,98.74
2025-07-30,9.65,235.0,3.49,98.74
2025-07-31,9.55,233.5,3.5,89.56
2025-08-01,9.55,236.5,3.47,93.85
2025-08-04,9.55,234.6,3.45,91.1
2025-08-05,9.63,241.5,3.45,93.25
2025-08-07,9.63,241.0,3.43,93.9
2025-08-08,9.55,245.5,3.37,97.5
2025-08-11,9.5,248.5,3.37,99.8
2025-08-12,9.57,249.08,3.37,97.85
2025-08-13,9.47,251.0,3.37,98.67
2025-08-14,9.39,251.0,3.37,98.78
2025-08-15,9.38,249.5,3.4,95.2
2025-08-18,9.38,251.0,3.38,96.0
