,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5130.0,999999.0,999999.0,999999.0,5130.0,5130.0,5130.0,999999.0,999999.0,999999.0,5130.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5130.0,5130.0,999999.0,999999.0,999999.0,999999.0,999999.0,5190.0,999999.0,999999.0,999999.0
1,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5130.0,999999.0,999999.0,999999.0,5130.0,5130.0,5130.0,999999.0,999999.0,999999.0,5130.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5130.0,5130.0,999999.0,999999.0,999999.0,999999.0,999999.0,5190.0,999999.0,999999.0,999999.0
2,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,4336.0,999999.0,999999.0,999999.0,4336.0,4336.0,4336.0,999999.0,999999.0,999999.0,4336.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,4336.0,4336.0,999999.0,999999.0,999999.0,999999.0,999999.0,4629.0,999999.0,999999.0,999999.0
3,8796.0,10000.0,8708.0,10595.0,8708.0,10595.0,11000.0,8708.0,8708.0,10595.0,11000.0,8708.0,10595.0,10595.0,999999.0,10595.0,10595.0,12073.0,999999.0,999999.0,999999.0,10595.0,12073.0,12073.0,999999.0,11000.0,11000.0,11000.0,8796.0,8708.0,10000.0,10595.0,10595.0,11000.0,10595.0,10595.0,10595.0,999999.0,999999.0,10595.0,10595.0,8708.0,10595.0,8796.0,999999.0,10595.0,10595.0,999999.0
4,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5620.0,999999.0,999999.0,999999.0,5620.0,5620.0,5620.0,999999.0,999999.0,999999.0,5620.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,5620.0,5620.0,999999.0,999999.0,999999.0,999999.0,999999.0,5778.0,999999.0,999999.0,999999.0
5,4393.0,999999.0,3736.0,4604.0,3736.0,4604.0,3805.0,3736.0,3736.0,4604.0,3805.0,3736.0,4604.0,4604.0,5686.0,4604.0,4604.0,3799.0,5686.0,5686.0,5686.0,4604.0,3799.0,3799.0,5686.0,3805.0,3805.0,3805.0,4393.0,3736.0,3736.0,4604.0,4604.0,3805.0,4604.0,4604.0,4604.0,5686.0,5686.0,4604.0,4604.0,3736.0,4604.0,4393.0,5703.0,4604.0,4604.0,999999.0
6,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,9432.0,999999.0,999999.0,999999.0,9432.0,9432.0,9432.0,999999.0,999999.0,999999.0,9432.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,9432.0,9432.0,999999.0,999999.0,999999.0,999999.0,999999.0,12953.0,999999.0,999999.0,999999.0
7,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,7388.0,999999.0,999999.0,999999.0
8,4962.0,999999.0,4292.0,5201.0,4292.0,5201.0,4298.0,4292.0,4292.0,5201.0,4298.0,4292.0,5201.0,5201.0,5859.0,5201.0,5201.0,4292.0,5859.0,5859.0,5859.0,5201.0,4292.0,4292.0,5859.0,4298.0,4298.0,4298.0,4962.0,4292.0,4221.0,5201.0,5201.0,4298.0,5201.0,5201.0,5201.0,5859.0,5859.0,5201.0,5201.0,4292.0,5201.0,4962.0,6442.0,5201.0,5201.0,999999.0
9,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,2921.0,999999.0,999999.0,999999.0,2921.0,2921.0,2921.0,999999.0,999999.0,999999.0,2921.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,2921.0,2921.0,999999.0,999999.0,999999.0,999999.0,999999.0,4330.0,999999.0,999999.0,999999.0
